GraphID	GraphKind	VertexCount	VertexID	ProblemNode	ChimearNode	In_Degree	Out_Degree	In_Flow	In_Flow_Std	Out_Flow	Out_Flow_Std	Centrality
0	orig	16	0	0	0	0	2	0	NA	0	0.0	0.133333333333
0	orig	16	1	0	0	1	0	0	0.0	0	NA	0.0666666666667
0	orig	16	2	0	0	1	1	0	0.0	183	0.0	0.133333333333
0	orig	16	3	0	0	1	1	0	0.0	73	0.0	0.133333333333
0	orig	16	4	0	0	2	1	182	23.0	375	0.0	0.2
0	orig	16	5	0	0	1	1	25	0.0	30	0.0	0.133333333333
0	orig	16	6	0	0	1	1	116	0.0	172	0.0	0.133333333333
0	orig	16	7	0	0	3	1	364	69.4086129781856	386	0.0	0.266666666667
0	orig	16	8	0	0	2	1	466	171.0	470	0.0	0.2
0	orig	16	9	0	0	1	1	470	0.0	0	0.0	0.133333333333
0	orig	16	10	0	0	1	1	386	0.0	404	0.0	0.133333333333
0	orig	16	11	0	0	1	1	172	0.0	159	0.0	0.133333333333
0	orig	16	12	0	0	1	1	30	0.0	24	0.0	0.133333333333
0	orig	16	13	0	0	1	3	375	0.0	322	63.980899927678074	0.266666666667
0	orig	16	14	0	0	1	1	73	0.0	68	0.0	0.133333333333
0	orig	16	15	0	0	1	2	183	0.0	176	26.0	0.2
0	comp	3	0	0	0	0	3	0	NA	442	137.38591226500952	1.5
0	comp	3	1	0	0	3	0	442	60.35634920113119	0	NA	1.5
0	comp	3	13	1	0	2	2	378	152.0	378	16.0	2.0
0	res	2	0	0	0	0	4	0	NA	442	60.780342216871404	4.0
0	res	2	1	0	0	4	0	442	60.780342216871404	0	NA	4.0
1	orig	34	0	0	0	0	3	0	NA	0	0.0	0.0909090909091
1	orig	34	1	0	0	3	0	0	0.0	0	NA	0.0909090909091
1	orig	34	2	0	0	1	1	0	0.0	190	0.0	0.0606060606061
1	orig	34	3	0	0	1	1	0	0.0	7	0.0	0.0606060606061
1	orig	34	4	0	0	2	1	139	65.5	175	0.0	0.0909090909091
1	orig	34	5	0	0	1	1	157	0.0	182	0.0	0.0606060606061
1	orig	34	6	0	0	1	1	169	0.0	184	0.0	0.0606060606061
1	orig	34	7	0	0	1	1	8	0.0	8	0.0	0.0606060606061
